"variable","n","mean","sd","min","q25","median","q75","max"
"grain_yield",1211,13.848330656796,2.20937341161908,3.65893689650324,12.5792391058904,14.1870314253579,15.4419353965185,19.0098615977549
"total_dm",1211,23664.3562805884,4046.7610968021,8384.63210268354,20834.6529683713,23802.2076358894,26464.3633846431,35065.7529998337
"harvest_index",1211,0.513746168562085,0.0586686773842314,0.340524339766484,0.475437016880315,0.5265963591035,0.560279459215848,0.623566807218317
"ears",1211,72573.7195722589,8735.38433793703,39931.2750379887,67991.0899295483,73186.5870511402,76624.8791269512,123031.496062992
"kernels_per_ear",1211,535.54002771523,85.3328797875354,210.235301276476,484.335268085342,528.216486141111,581.760330692093,921.465248797176
"kernel_weight",1211,31.4262966969447,3.89769232307494,21.2866666666667,28.7782,31.106,34.4569333333333,42.642
"barren_pct",1211,2.26838907341009,3.16898416987801,0,0,1.42857142857142,3.33333333333333,37.2881355932203
"n_uptake",1211,249.569542414009,61.2804997174757,53.0195700296716,210.875886673919,249.284985112115,289.843522289695,457.293696087629
"p_uptake",1211,36.9161914090172,12.9927167079988,10.8147072525956,27.3615373225528,34.8793444442193,45.7768052476808,79.9467777967877
"k_uptake",1211,298.308420761466,95.6228954468099,88.1282850730366,227.973569213286,286.46827247677,368.228790090137,591.582346949642
"s_uptake",1211,22.1977676769719,4.9938914483372,6.19867823486019,18.6070096941742,22.0024536485026,25.6252274860726,41.1662322830627
"n_hi",1211,0.643005037560821,0.0747565254296095,0.399729731912026,0.598228539186204,0.646786991433864,0.696797498653273,0.856830449492915
"p_hi",1211,0.86699231806688,0.081325864922875,0.470561541814559,0.834754441925174,0.89023164567286,0.924527259239942,0.9779717237476
"k_hi",1211,0.154117952560526,0.0414847751992527,0.0599469062594805,0.12339120512151,0.151696601333433,0.179868763059257,0.296811695443423
"s_hi",1211,0.562563986036615,0.07421817920581,0.0778633023217748,0.515808868966139,0.565368500370631,0.613089254884267,0.74892967373775
"irrigation_mm",1211,327.360905037159,105.316399752146,152.4,246.38,355.6,393.7,558.8
"latitude",1211,41.3308703550784,0.69029273144017,40.124,40.976,41.166,42.136,42.39
"longitude",1211,-99.0416473988439,2.33588946982495,-103.685,-100.774,-98.137,-96.955,-96.458
"som_pct",1211,2.30028168433588,0.75973825208743,0.659895830787718,1.67574999630451,2.52399999830458,2.92333330710729,3.40737499892712
"soil_ph",1211,6.53630111818917,0.601358616509475,4.8242105057365,6.17208331823349,6.47749993536207,6.89395829041799,8.0849999666214
"bray_p_ppm",1211,23.5173950899637,17.687238222577,4.84261247217655,12.1312500370873,18.1291040281455,28.361378386214,83.6856582541215
"olsen_p_ppm",1211,14.3111701624516,9.7573037047785,2.66636438220739,7.63073896037208,12.2874423166116,17.7674871285756,44.2071627817656
"soil_k_ppm",1211,432.267634982571,156.88401173665,93.0312506295741,372.392646757995,461.086362938989,521.080391562035,695.955001115799
"soil_no3n_ppm",1211,4.40597419465174,1.89677980939595,0.768575205223832,3.15525001510978,3.83949432293461,5.82375001013279,8.90724996477365
"n_rate",1211,180.846680363336,96.862513231037,0,112.01792,168.02688,252,375.2
"p_rate",1211,19.2072667217176,10.5093022962716,0,20,20,20,40
"k_rate",1211,37.8530140379851,25.3376836349033,0,40,40,40,160
"s_rate",1211,5.25317919075145,9.49472299110308,0,0,0,0,22.4
"population",1211,73035.3528096923,7174.10938206103,43168.9459870148,69070.3135792236,73387.2081779251,77704.1027766266,94971.6811714325
