"key","value","note"
"seed","20250317","set once in R/99_utils.R"
"r_version","4.4.3",""
"data_sha256","62262f92257fa26f7927fa2ad5bbeaf9f026d7ab96fbfdb7834ad2dcf185d2df","matches the digest published by Dryad"
"data_bytes","51500032",""
"sheet_count","6",""
"data_rows","1483",""
"data_cols","162",""
"siteyear_rows","34",""
"dictionary_entries","153",""
"frame_rows","1483",""
"frame_cols","48",""
"texture_recoded_plots","37","plots whose texture class was recorded as 'ls' and merged into 'lS'"
"texture_classes","4",""
"range_violations","0","values outside agronomically plausible bounds"
"identity_max_error_dm","0","grain + cob + stover against total dry matter"
"identity_max_error_hi","1.110223025e-16","grain dry matter over total against reported harvest index"
"missing_cells_total","0",""
"missing_fraction_max","0",""
"irrigation_min_mm","152.4",""
"irrigation_max_mm","558.8",""
"site_years","34",""
"standard_rows","1211",""
"standard_site_years","34",""
"standard_treatments","9",""
"design_cells","306",""
"design_empty_cells","0",""
"design_min_reps","2",""
"design_max_reps","4",""
"excluded_rows","272","plots in site-specific treatments 10 to 12"
"mean_yield_N0P1K1","10.66817745","Mg/ha"
"mean_yield_N1P1K1","13.38497404","Mg/ha"
"mean_yield_N2P0K1","14.06351564","Mg/ha"
"mean_yield_N2P1K0","14.47624777","Mg/ha"
"mean_yield_N2P1K1","14.24773577","Mg/ha"
"mean_yield_N3P1K1","14.44278858","Mg/ha"
"mean_yield_N4P1K1","14.59345287","Mg/ha"
"mean_yield_N4P2K2","14.67101144","Mg/ha"
"mean_yield_UNL","14.06517446","Mg/ha"
"mean_yield","13.84833066","Mg/ha over the 1211 standard plots"
"sd_yield","2.209373412",""
"min_yield","3.658936897",""
"max_yield","19.0098616",""
"between_block_share_yield","0.4120868766","share of plot-level yield sum of squares lying between site-years"
"simpson_sign_reversals","5","subgroup correlations whose sign opposes the pooled coefficient"
"pooled_r_yield_n_uptake","0.7539974464",""
"min_within_texture_r_yield_n_uptake","0.7563598971",""
"min_within_block_r_yield_n_uptake","0.4371152099",""
"median_within_block_r_yield_n_uptake","0.8687616933",""
"pooled_r_yield_population","0.2342834515",""
"min_within_block_r_yield_population","-0.250544128",""
"population_sign_reversals_within_block","5",""
"split_train_site_years","24",""
"split_test_site_years","10",""
"split_train_rows","860",""
"split_test_rows","351",""
"split_site_year_overlap","0",""
"split_attempts","1","draws needed before every site-level factor level appeared in training"
"singleton_factor_levels","0","site-level factor levels carried by a single site-year"
"pca_n_vars","15",""
"pca_n_retained","4","components with eigenvalue above one"
"pca_variance_retained","0.7849059179",""
"pca_proportion_sum","1","proportions of variance must sum to one"
"pca_pc1_proportion","0.3719475636",""
"pca_pc2_proportion","0.225094841",""
"pca_eigenvalue_sum","15","equals the number of standardised variables"
"kmeans_k","3","chosen by majority rule, not fixed in advance"
"kmeans_index_votes","7",""
"kmeans_indices_reporting","24",""
"kmeans_between_share","0.3479554707","between-cluster share of total sum of squares"
"cramers_v_cluster_site_yr","0.6737330534",""
"cramers_v_cluster_treatment","0.2996147313",""
"anova_block_f","48.70514512",""
"anova_block_p","1.06546992e-193",""
"anova_treatment_f","140.5060041",""
"anova_treatment_p","3.768576821e-165",""
"contrast_n0p1k1_to_n2p1k1_estimate","3.61146726","Mg/ha"
"contrast_n0p1k1_to_n2p1k1_ci_low","2.848957887",""
"contrast_n0p1k1_to_n2p1k1_ci_high","4.373976632",""
"contrast_n0p1k1_to_n2p1k1_p_holm","2.031337978e-10",""
"contrast_n2p1k1_to_n4p1k1_estimate","0.3620059146","Mg/ha"
"contrast_n2p1k1_to_n4p1k1_ci_low","0.1542427467",""
"contrast_n2p1k1_to_n4p1k1_ci_high","0.5697690825",""
"contrast_n2p1k1_to_n4p1k1_p_holm","0.004795109942",""
"contrast_n2p0k1_to_n2p1k1_estimate","0.190386892","Mg/ha"
"contrast_n2p0k1_to_n2p1k1_ci_low","-0.1016857713",""
"contrast_n2p0k1_to_n2p1k1_ci_high","0.4824595552",""
"contrast_n2p0k1_to_n2p1k1_p_holm","0.3877632356",""
"contrast_n2p1k0_to_n2p1k1_estimate","-0.2565077889","Mg/ha"
"contrast_n2p1k0_to_n2p1k1_ci_low","-0.4745662487",""
"contrast_n2p1k0_to_n2p1k1_ci_high","-0.03844932911",""
"contrast_n2p1k0_to_n2p1k1_p_holm","0.06763633919",""
"contrast_n4p1k1_to_n4p2k2_estimate","0.07960450425","Mg/ha"
"contrast_n4p1k1_to_n4p2k2_ci_low","-0.08522966106",""
"contrast_n4p1k1_to_n4p2k2_ci_high","0.2444386695",""
"contrast_n4p1k1_to_n4p2k2_p_holm","0.3877632356",""
"shapiro_statistic","0.9747787732",""
"shapiro_p","1.068252738e-13",""
"brown_forsythe_treatment_p","3.23166278e-07",""
"brown_forsythe_block_p","3.97036025e-05",""
"contrast_differences_min_shapiro_p","0.1434128162","smallest p across the five contrasts, on 34 block differences each"
"manova_treatment_pillai","1.014665922",""
"manova_treatment_p","6.774746101e-48",""
"manova_block_pillai","3.358424996",""
"split_plot_overlap","0","plots appearing in both partitions"
"max_abs_predictor_response_correlation","0.4280586193",""
"n_allowed_predictors","18",""
"n_blocked_predictors","20",""
"baseline_test_rmse","2.15374403",""
"baseline_test_r2","-0.1484350298",""
"agronomic_lm_train_r2","0.4181427962",""
"agronomic_lm_test_rmse","2.007935668",""
"agronomic_lm_test_r2","0.001799354052",""
"n_agronomic_predictors","12",""
"lm_train_r2","0.4697700916",""
"lm_test_rmse","1.808415908",""
"lm_test_r2","0.1903172347",""
"rf_test_rmse","1.781938391",""
"rf_test_r2","0.213853244",""
"leakage_test_r2","0.9683012276","illustration only: harvest measurements admitted as predictors"
"leakage_test_rmse","0.3578179253",""
"plot_split_rf_test_r2","0.7265280954","illustration only: partitions formed over plots rather than site-years"
"n_predictive_models","3",""
"cv_folds","34","one fold per site-year"
"cv_mean_rmse","2.236349297",""
"cv_lm_rmse","2.115785227",""
"cv_lm_r2","0.08216696031",""
"cv_rf_rmse","1.949716857",""
"cv_rf_r2","0.2205942246",""
