"variable","PC1","PC2","PC3","PC4"
"grain_yield",-0.322,0.281,-0.239,0.109
"total_dm",-0.401,-0.022,-0.174,-0.034
"harvest_index",0.148,0.454,-0.087,0.155
"ears",0.019,-0.012,-0.676,-0.117
"kernels_per_ear",-0.242,0.217,0.305,-0.32
"kernel_weight",-0.203,0.177,-0.045,0.592
"barren_pct",-0.009,-0.062,0.299,0.615
"n_uptake",-0.395,0.035,-0.109,0.023
"p_uptake",-0.304,0.079,0.261,-0.037
"k_uptake",-0.385,-0.118,-0.092,-0.045
"s_uptake",-0.388,0.019,0.145,-0.005
"n_hi",0.146,0.406,-0.11,0.102
"p_hi",-0.131,0.342,0.113,-0.275
"k_hi",0.153,0.356,0.31,-0.163
"s_hi",0.073,0.45,-0.179,0.018
