"component","train_eigenvalue","test_variance"
"PC1",5.57921345444812,3.01617272013061
"PC2",3.37642261431184,3.78261403392368
"PC3",1.66010357801055,1.71419742047083
"PC4",1.157849121227,1.16378643490426
"PC5",0.833612505093974,1.41580778864543
"PC6",0.741714323367788,0.64508986103358
"PC7",0.576933692688606,0.904296370610779
"PC8",0.382910945709376,0.375143746901617
"PC9",0.280203096603666,0.467496512635789
"PC10",0.151945460170656,0.194798303668901
"PC11",0.142701820287402,0.207469022755691
"PC12",0.0579657202079677,0.0973658687808015
"PC13",0.0460283030746678,0.101651589189456
"PC14",0.00840360703022473,0.0381398399499781
"PC15",0.00399175776815775,0.00810158183164737
