"component","eigenvalue","proportion","cumulative"
"PC1",5.57921345444812,0.371947563629875,0.371947563629875
"PC2",3.37642261431184,0.225094840954123,0.597042404583997
"PC3",1.66010357801055,0.11067357186737,0.707715976451368
"PC4",1.157849121227,0.0771899414151335,0.784905917866501
"PC5",0.833612505093974,0.0555741670062649,0.840480084872766
"PC6",0.741714323367788,0.0494476215578525,0.889927706430618
"PC7",0.576933692688606,0.0384622461792404,0.928389952609859
"PC8",0.382910945709376,0.0255273963806251,0.953917348990484
"PC9",0.280203096603666,0.0186802064402444,0.972597555430728
"PC10",0.151945460170656,0.0101296973447104,0.982727252775439
"PC11",0.142701820287402,0.00951345468582676,0.992240707461265
"PC12",0.0579657202079677,0.00386438134719785,0.996105088808463
"PC13",0.0460283030746678,0.00306855353831119,0.999173642346775
"PC14",0.00840360703022473,0.000560240468681648,0.999733882815456
"PC15",0.00399175776815775,0.00026611718454385,1
