"variable","lower","upper","observed_min","observed_max","n_outside"
"grain_yield",0,25,3.65893689650324,19.0098615977549,0
"total_dm",3000,45000,8384.63210268354,35065.7529998337,0
"grain_dm",1000,25000,3187.42440984045,16560.1371650546,0
"population",20000,120000,43168.9459870148,98209.3521204586,0
"ears",20000,140000,39931.2750379887,123031.496062992,0
"harvest_index",0.2,0.75,0.340524339766484,0.623952997372596,0
"n_uptake",10,600,53.0195700296716,457.293696087629,0
"p_uptake",1,150,10.8147072525956,79.9467777967877,0
"k_uptake",20,800,88.1282850730366,591.582346949642,0
"s_uptake",1,100,6.19867823486019,41.1662322830627,0
"n_rate",0,400,0,375.2,0
"p_rate",0,150,0,129.89312,0
"k_rate",0,200,0,160,0
"s_rate",0,50,0,45,0
"irrigation_mm",0,800,152.4,558.8,0
"soil_ph",4,9,4.8242105057365,8.0849999666214,0
"som_pct",0,10,0.659895830787718,3.40737499892712,0
