"x","y","grouping","pooled_r","n_groups","min_within_r","median_within_r","max_within_r","n_sign_reversals"
"n_uptake","grain_yield","texture",0.753997446428466,4,0.756359897133994,0.762676191232784,0.859805933733112,0
"n_uptake","grain_yield","tillage",0.753997446428466,3,0.713158283819788,0.785478960299085,0.790863427434102,0
"n_uptake","grain_yield","prev_crop",0.753997446428466,3,0.652591747507786,0.753488894550916,0.78425603391807,0
"n_uptake","grain_yield","block",0.753997446428466,34,0.437115209949888,0.868761693315204,0.955131504527476,0
"p_uptake","grain_yield","texture",0.487671540063784,4,0.424058915462485,0.507173876183506,0.56414214020217,0
"p_uptake","grain_yield","tillage",0.487671540063784,3,0.481189311219052,0.508325090922549,0.603129657116021,0
"p_uptake","grain_yield","prev_crop",0.487671540063784,3,0.0337763543955531,0.533632104570564,0.658748757803081,0
"p_uptake","grain_yield","block",0.487671540063784,34,0.1187249439349,0.661704186084092,0.881363420887141,0
"k_uptake","grain_yield","texture",0.520888100087276,4,0.237620122853619,0.615676138457063,0.758624807235281,0
"k_uptake","grain_yield","tillage",0.520888100087276,3,0.408287965704736,0.557559757949814,0.558414220192707,0
"k_uptake","grain_yield","prev_crop",0.520888100087276,3,0.389461037073714,0.553039308520237,0.649389643571194,0
"k_uptake","grain_yield","block",0.520888100087276,34,0.208156538532511,0.788044214317303,0.94999572358694,0
"population","grain_yield","texture",0.234283451507462,4,0.154000296023352,0.313414342752632,0.433109147180934,0
"population","grain_yield","tillage",0.234283451507462,3,0.14808266424927,0.198991694421133,0.291116663588645,0
"population","grain_yield","prev_crop",0.234283451507462,3,0.209284708975449,0.302825955667608,0.309785222945354,0
"population","grain_yield","block",0.234283451507462,34,-0.250544128033728,0.196364373717748,0.53231900555495,5
