"variable","unit","description"
"Year",NA,"study year"
"Site-yr",NA,"site-year"
"Site-no",NA,"site number within each year"
"Site",NA,"site location"
"Soil",NA,"soil series"
"Texture",NA,"soil texture class"
"prevCrop",NA,"previous crop (corn, soybean, or dry bean)"
"Till",NA,"tillage (CT-conventional, NT-no-till, RT-ridge-till)"
"Treatment",NA,"treatment code"
"Treat-no",NA,"treatment number"
"Plot",NA,"plot number"
"Rep",NA,"plot replicate"
"lbsN","lb N/ac","N rate"
"FN","kg N/ha","N rate"
"lbsP2O5","lb P2O5/ac","P rate"
"FP","kg P/ha","P rate"
"lbsK20","lb K2O/ac","K rate"
"FK","kg K/ha","K rate"
"lbsS","lb S/ac","S rate"
"FS","kg S/ha","S rate"
"POP ha","plants/ha","plant population"
"POP ac","plants/acre","plant population"
"GY bu","bu/acre","grain yield, 15.5% moisture"
"GY Mg","Mg/ha","grain yield, 15.5% moisture"
"GDM","kg/ha","grain dry matter (oven-dry)"
"CDM","kg/ha","cob dry matter (oven-dry)"
"VDM","kg/ha","stover dry matter (oven-dry, stalks, leaves, tassels)"
"TDM","kg/ha","total aboveground dry matter (oven-dry)"
"cobHi",NA,"cob harvest index = CDM/(GDM+CDM)"
"HI",NA,"harvest index = GDM/TDM"
"EARS","no./ha","number of ears"
"BARR","%","barren stalks"
"PROL","%","prolific plants (more than 1 sizeable ear)"
"KERNE","no/ear","no. of kernels per ear"
"KERNm","no./m2","no. of kernels per m2"
"HSW","g","100-seed weight, oven-dry"
"gUN","kg/ha","N uptake grain"
"cUN","kg/ha","N uptake cobs"
"vUN","kg/ha","N uptake stover"
"UN","kg/ha","N uptake total"
"NHI",NA,"N harvest index = gUN/UN"
"gUP","kg/ha","P uptake grain"
"cUP","kg/ha","P uptake cobs"
"vUP","kg/ha","P uptake stover"
"UP","kg/ha","P uptake total"
"PHI",NA,"P harvest index = gUP/UP"
"gUK","kg/ha","K uptake grain"
"cUK","kg/ha","K uptake cobs"
"vUK","kg/ha","K uptake stover"
"UK","kg/ha","K uptake total"
"KHI",NA,"K harvest index = gUK/UK"
"gUCa","kg/ha","Ca uptake grain"
"cUCa","kg/ha","Ca uptake cobs"
"vUCa","kg/ha","Ca uptake stover"
"UCa","kg/ha","Ca uptake total"
"CaHI",NA,"Ca harvest index = gUCa/UCa"
"gUMg","kg/ha","Mg uptake grain"
"cUMg","kg/ha","Mg uptake cobs"
"vUMg","kg/ha","Mg uptake stover"
"UMg","kg/ha","Mg uptake total"
"MgHI",NA,"Mg harvest index = gUMg/UMg"
"gUS","kg/ha","S uptake grain"
"cUS","kg/ha","S uptake cobs"
"vUS","kg/ha","S uptake stover"
"US","kg/ha","S uptake total"
"SHI",NA,"S harvest index = gUS/US"
"gN","%","grain N content"
"gP","%","grain P content"
"gK","%","grain K content"
"gCa","%","grain Ca content"
"gMg","%","grain Mg content"
"gS","%","grain S content"
"cN","%","cob N content"
"cP","%","cob P content"
"cK","%","cob K content"
"cCa","%","cob Ca content"
"cMg","%","cob Mg content"
"cS","%","cob S content"
"vN","%","stover N content"
"vP","%","stover P content"
"vK","%","stover K content"
"vCa","%","stover Ca content"
"vMg","%","stover Mg content"
"vS","%","stover S content"
"SOM 0-4","%","soil organic matter, 0-4"" depth (0-10 cm)"
"SOM 4-8","%","soil organic matter, 4-8"" depth (10-20 cm)"
"SOM 0-8","%","soil organic matter, 0-8"" depth (0-20 cm)"
"SOM 8-16","%","soil organic matter, 0-4"" depth (8-16 cm)"
"pH 0-4",NA,"soil pH, 0-4"" depth (0-10 cm)"
"pH 4-8",NA,"soil pH, 4-8"" depth (10-20 cm)"
"pH 0-8",NA,"soil pH, 0-8"" depth (0-20 cm)"
"pH 8-16",NA,"soil pH, 0-4"" depth (8-16 cm)"
"bpH 0-4",NA,"soil buffer pH, 0-4"" depth (0-10 cm)"
"bpH 4-8",NA,"soil buffer pH, 4-8"" depth (10-20 cm)"
"bpH 0-8",NA,"soil buffer pH, 0-8"" depth (0-20 cm)"
"bpH 8-16",NA,"soil buffer pH, 0-4"" depth (8-16 cm)"
"Bray-P 0-4","mg P/kg soil","Bray-1 P, 0-4"" depth (0-10 cm)"
"Bray-P 4-8","mg P/kg soil","Bray-1 P, 4-8"" depth (10-20 cm)"
"Bray-P 0-8","mg P/kg soil","Bray-1 P, 0-8"" depth (0-20 cm)"
"Bray-P 8-16","mg P/kg soil","Bray-1 P, 0-4"" depth (8-16 cm)"
"cumBray-P8","kg P/ha","cumulative Bray-1 P in 0-8"" (0-20 cm)"
"cumBray-P16","kg P/ha","cumulative Bray-1 P in 0-16"" (0-40 cm)"
"Olsen-P 0-4","mg P/kg soil","Olsen P, 0-4"" depth (0-10 cm)"
"Olsen-P 4-8","mg P/kg soil","Olsen P, 4-8"" depth (10-20 cm)"
"Olsen-P 0-8","mg P/kg soil","Olsen P, 0-8"" depth (0-20 cm)"
"Olsen-P 8-16","mg P/kg soil","Olsen P, 0-4"" depth (8-16 cm)"
"cumOls-P8","kg P/ha","cumulative Olsen P in 0-8"" (0-20 cm)"
"cumOls-P16","kg P/ha","cumulative Olsen P in 0-16"" (0-40 cm)"
"K 0-4","mg K/kg soil","available K P, 0-4"" depth (0-10 cm)"
"K 4-8","mg K/kg soil","available K P, 4-8"" depth (10-20 cm)"
"K 0-8","mg K/kg soil","available K P, 0-8"" depth (0-20 cm)"
"K 8-16","mg K/kg soil","available K P, 0-4"" depth (8-16 cm)"
"cumK8","kg K/ha","cumulative available K P in 0-8"" (0-20 cm)"
"cumK16","kg K/ha","cumulative available K P in 0-16"" (0-40 cm)"
"NO3-12S","mg N/kg soil","spring soil nitrate, 0-12"" (0-30 cm)"
"NO3-24S","mg N/kg soil","spring soil nitrate, 12-24"" (30-60 cm)"
"NO3-36S","mg N/kg soil","spring soil nitrate, 24-36"" (60-90 cm)"
"NO3-48S","mg N/kg soil","spring soil nitrate, 36-48"" (90-120 cm)"
"avgNO3-S2ft","mg N/kg soil","average spring soil nitrate in 0-24"" (0-60 cm)"
"avgNO3-S3ft","mg N/kg soil","average spring soil nitrate in 0-36"" (0-90 cm)"
"avgNO3-S4ft","mg N/kg soil","average spring soil nitrate in 0-48"" (0-120 cm)"
"cumNO3-S","kg N/ha","cumulative spring soil nitrate in 0-48"" (0-120 cm)"
"NO3-12F","mg N/kg soil","fall soil nitrate, 0-12"" (0-30 cm)"
"NO3-24F","mg N/kg soil","fall soil nitrate, 12-24"" (30-60 cm)"
"NO3-36F","mg N/kg soil","fall soil nitrate, 24-36"" (60-90 cm)"
"NO3-48F","mg N/kg soil","fall soil nitrate, 36-48"" (90-120 cm)"
"avgNO3-F","mg N/kg soil","average fall soil nitrate in 0-48"" (0-120 cm)"
"cumNO3-F","kg N/ha","cumulative fall soil nitrate in 0-48"" (0-120 cm)"
"PSNT","mg N/kg soil","Pre-sidedress nitrate test, 0-12"" (0-30 cm)"
